Politische Führung	 24 080  	 14 510  	 9 565  	 12 220  	 6 070  	 6 155  
Innere Verwaltung	 3 925  	 1 695  	 2 230  	 2 355  	  905  	 1 450  
Statistischer Dienst	 2 175  	  665  	 1 510  	 1 250  	  315  	  935  
Zivildienst	 1 260  	  315  	  945  	  755  	  165  	  590  
Hochbauverwaltung	 1 170  	  280  	  885  	  605  	  135  	  470  
Sonstige allgemeine Staatsaufgaben	 2 895  	 2 380  	  515  	 1 015  	  840  	  180  
Auswärtige Angelegenheiten	 9 185  	 2 850  	 6 340  	 4 235  	  905  	 3 330  
Bundeswehrverwaltung	 72 940  	 22 665  	 50 275  	 25 655  	 6 445  	 19 210  
Deutsche Verteidigungsstreitkräfte	 162 935  	 162 935  	0  	 16 370  	 16 370  	0  
Polizei	 44 845  	 37 610  	 7 235  	 9 940  	 6 435  	 3 505  
Bevölkerungs- und Katastrophenschutz	 1 335  	  220  	 1 110  	  515  	  60  	  455  
Wetterdienst	 2 295  	 1 550  	  745  	  825  	  490  	  335  
Rechtsschutz	 4 970  	 2 935  	 2 035  	 2 655  	 1 185  	 1 470  
Finanzverwaltung	 45 625  	 38 690  	 6 930  	 17 460  	 13 180  	 4 280  
Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten	 11 475  	 2 600  	 8 875  	 5 575  	  970  	 4 605  
"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik"	 6 625  	 2 000  	 4 625  	 3 945  	  945  	 3 000  
Gesundheit, Umwelt, Sport und Erholung	 7 110  	 1 520  	 5 590  	 4 335  	  710  	 3 625  
Ernährung, Landwirtschaft und Forsten	  305  	  25  	  280  	  195  	  10  	  190  
Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen	 1 300  	  490  	  805  	  625  	  200  	  425  
Verkehrs- und Nachrichtenwesen	 19 515  	 3 965  	 15 550  	 5 160  	 1 060  	 4 100  
Eisenbahnen und öffentlicher Personennahverkehr	 33 570  	 32 330  	 1 240  	 4 515  	 4 205  	  310  
Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen	 14 015  	 7 645  	 6 370  	 6 110  	 2 650  	 3 460  
Grund- und Kapitalvermögen, Sondervermögen	 6 650  	 1 280  	 5 370  	 3 085  	  545  	 2 540  
