Zentrale Verwaltung	 422 610  	 115 045  	 307 565  	 238 295  	 41 655  	 196 640  
Schule und Kultur	 178 175  	 13 325  	 164 850  	 124 780  	 7 355  	 117 425  
Soziales und Jugend	 388 280  	 30 835  	 357 445  	 332 255  	 20 430  	 311 825  
Gesundheit und Sport	 158 590  	 3 160  	 155 430  	 112 560  	 1 600  	 110 955  
dar.: Räumliche Planung und Entwicklung	 29 450  	 5 945  	 23 505  	 14 180  	 2 125  	 12 055  
Bauen und Wohnen	 35 655  	 6 330  	 29 325  	 18 235  	 2 920  	 15 320  
Ver- und Entsorgung	 88 310  	 2 150  	 86 160  	 19 240  	  775  	 18 465  
Verkehrsflächen und -anlagen, ÖPNV	 42 065  	 2 225  	 39 840  	 6 365  	  775  	 5 585  
Natur- und Landschaftspflege	 50 710  	 3 745  	 46 965  	 13 190  	 1 230  	 11 960  
Sonstiges	 70 560  	 3 575  	 66 985  	 20 180  	 1 540  	 18 640  

