Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten	 135 215  	 60 420  	 74 800  	 74 220  	 29 940  	 44 280  
Öffentliche Sicherheit und Ordnung	 285 420  	 241 865  	 43 555  	 79 840  	 54 385  	 25 455  
Rechtsschutz	 173 450  	 114 055  	 59 395  	 101 625  	 54 895  	 46 730  
Finanzverwaltung	 141 845  	 119 270  	 22 575  	 87 245  	 70 370  	 16 880  
Grundschulen 	 181 730  	 132 445  	 49 285  	 165 035  	 121 210  	 43 825  
Weiterführende allgemeinbildende Schulen	 416 195  	 326 395  	 89 800  	 277 680  	 214 655  	 63 025  
Sonder-/Förderschulen	 75 920  	 51 795  	 24 125  	 61 030  	 40 835  	 20 195  
Berufliche Schulen	 114 455  	 82 250  	 32 210  	 58 640  	 40 305  	 18 335  
Sonstige schulische Aufgaben	 36 575  	 29 145  	 7 430  	 25 495  	 20 925  	 4 570  
Öffentliche Hochschulen und Berufsakademien	 326 050  	 54 540  	 271 510  	 149 375  	 16 000  	 133 375  
Hochschulkliniken	 199 100  	 3 330  	 195 770  	 139 865  	  860  	 139 010  
Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik	 32 040  	 6 850  	 25 190  	 24 285  	 4 500  	 19 785  
Gesundheit, Umwelt, Sport und Erholung	 48 500  	 7 390  	 41 110  	 29 840  	 3 030  	 26 815  
Wohnungswesen, Städtebau, Raumordnung und kommunale Gemeinschaftsdienste	 17 860  	 6 995  	 10 865  	 6 720  	 1 880  	 4 840  
Ernährung, Landwirtschaft und Forsten	 34 610  	 12 125  	 22 485  	 12 345  	 3 025  	 9 320  
Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen	 28 920  	 2 730  	 26 190  	 8 335  	  720  	 7 615  
Verkehrs- und Nachrichtenwesen	 47 280  	 3 865  	 43 410  	 10 820  	 1 340  	 9 480  
Finanzwirtschaft	  870  	  300  	  570  	  440  	  140  	  300  
